[00:00:00	][IT] C24:i3.KING-20: anlıyor
[16:31:10	]C24:i5.(X)KING-19 ran 'combine' on item '17rnd USP Magazine' (#147057)
[16:31:11	]Anna  İvakov ran 'Consume' on item 'Breen Suyu' (#164457)
[16:31:11	]Anna  İvakov has wasted a level -2 long boost in Zeka (current: -2; target: 0).
[16:31:11	]Anna  İvakov has wasted a level -1 long boost in Algı (current: -1; target: 1).
[16:31:12	]Anna  İvakov ran 'Consume' on item 'Yapay Macun' (#164456)
[16:31:12	]Anna  İvakov has gained a 'Boş Kavanoz' #164460.
[16:31:12	]C24:i4.VICTOR-4 used command '/PTCreate'.
[16:31:13	][IC] C24:RCT.YELLO-54: <:: Birdaha aynı ithamı kullanma. ::>
[16:31:14	]Anna  İvakov ran 'drop' on item 'Boş Kavanoz' (#164460)
[16:31:14	]Anna  İvakov has lost a 'Boş Kavanoz' #164460.
[16:31:14	][IC] C24:i3.KING-20: <:: 50 4. ::>
[16:31:15	]C24:i4.VICTOR-4 used command '/PTCreate 1'.
[16:31:15	]HULUSİ KERİM was killed while bleeding out.
[16:31:15	]worldspawn has killed HULUSİ KERİM.
[16:31:15	]HULUSİ KERİM has dropped: Açık Gri Kol Bandı (#146950); Kahverengi Deri Çizme (#146954); Ameliyat maskesi (#145052); Sigara (#160652); Sigara (#160654); Sigara (#160656); El Feneri (#127655); Zippo Çakmak (#160668); Yeniden Konumlandırma Kuponu (#163820); POS Cihazı (#162855); ANA YEMEKLERIN FİYATI (#162546); Vizörlü Şapka (#136423); Sigara (#160653); Sigara (#160655); Gri tulum pantolonu (#146365); Turuncu Fermuarlı (#150946);
[16:31:16	]Anna  İvakov ran 'take' on item '15 Kredi Kuponu' (#164458)
[16:31:16	]Anna  İvakov has gained a '15 Kredi Kuponu' #164458.
[16:31:17	][IC] C24:RCT.YELLO-54: <:: Dinlemede. ::>
[16:31:17	][IC] C24:i3.KING-20: <:: KT1 katıl. ::>
[16:31:18	]Ivan  Andrey ran 'take' on item 'Cam kırıkları' (#163883)
[16:31:18	]Ivan  Andrey has gained a 'Cam kırıkları' #163883.
[16:31:20	][IC] C24:RCT.YELLO-54: <:: Anlaşıldı. ::>
[16:31:21	]Subütai Makhachev used command '/ActSitChair'.
[16:31:22	]C24:i4.VICTOR-4 used command '/Radio 54 KT-1 katılır mısın'.
[16:31:22	]Ivan  Andrey ran 'split' on item 'Cam kırıkları' (#163883)
[16:31:22	]Ivan  Andrey has gained a 'Cam kırıkları' #164462.
[16:31:22	]Anna  İvakov ran 'combine' on item '15 Kredi Kuponu' (#164458)
[16:31:26	][IC] C24:RCT.YELLO-54: <:: Bulamadıysan yapacak birşey yok. ::>
[16:31:26	]Anna  İvakov ran 'take' on item 'Plastik Levhalar' (#163636)
[16:31:26	]Anna  İvakov has gained a 'Plastik Levhalar' #163636.
[16:31:29	]C24:RCT.YELLO-54 used command '/Radio 10-4'.
[16:31:32	]nikita used command '/ActSitChair'.
[16:31:32	]C24:RCT.YELLO-54 used command '/PTJoin 1'.
[16:31:35	]C24:i3.KING-20 used command '/Radio plazanın asayişini sağlayın'.
[16:31:37	]C24:RCT.YELLO-54 used command '/Radio KT-1 Kenetleştirildi.'.
[16:31:44	]Anna  İvakov ran 'take' on item 'Benefactor Edition Sigara Paketi' (#111659)
[16:31:44	]Anna  İvakov has gained a 'Benefactor Edition Sigara Paketi' #111659.
[16:31:46	]C24:RL.KING-2 used command '/Radio 10-2 54 ile işim var'.
[16:31:46	]Anna  İvakov ran 'drop' on item 'Benefactor Edition Sigara Paketi' (#111659)
[16:31:46	]Anna  İvakov has lost a 'Benefactor Edition Sigara Paketi' #111659.
[16:31:48	]Anna  İvakov ran 'take' on item 'Benefactor Edition Sigara Paketi' (#111659)
[16:31:48	]Anna  İvakov has gained a 'Benefactor Edition Sigara Paketi' #111659.
[16:31:50	]Percy Cox opened the 'Çöp Konteyneri' #10261 container.
[16:31:50	]C24:i3.KING-20 entered observer.
[16:31:52	]C24:i4.VICTOR-4 used command '/Radio şehir meydanı dışına çıkmayalım mı'.
[16:31:53	]Percy Cox has gained a 'Tarihi Geçmiş Yapay Macun' #162001 from a container with the name 'Çöp Konteyneri' #10261.
[16:31:54	]C24:RL.KING-2 used command '/Radio 54 Olduğun konumda kal'.
[16:31:56	]Percy Cox closed the 'Çöp Konteyneri' #10261 container.
[16:32:04	]Anna  İvakov ran 'drop' on item 'Benefactor Edition Sigara Paketi' (#111659)
[16:32:04	]Anna  İvakov has lost a 'Benefactor Edition Sigara Paketi' #111659.
[16:32:05	][IC] C24:i4.VICTOR-4: <:: Biri başka öbürü başka bir şey. ::>
[16:32:05	]C24:i3.KING-20 exited observer at their location.
[16:32:06	][IC] C24:i4.VICTOR-4: <:: Diyor. ::>
[16:32:07	]Anna  İvakov ran 'take' on item 'Yapıştırıcı' (#164465)
[16:32:07	]Anna  İvakov has gained a 'Yapıştırıcı' #164465.
[16:32:08	][IC] C24:i4.VICTOR-4: <:: Anlamadım. ::>
[16:32:08	]HULUSİ KERİM ran SAM command 'asay' with arguments: 'buraya gelsene şu rolu tartısalım ciddi canım sıkılmay başladı'
[16:32:08	][IC] C24:RCT.YELLO-54: <:: Hmph. ::>
[16:32:12	]Anna  İvakov ran 'take' on item 'Plastik Levhalar' (#163661)
[16:32:13	][IC] C24:RCT.YELLO-54: <:: Geri ayrılayımmı. ::>
[16:32:15	]C24:i3.KING-20 claimed a report by HULUSİ KERİM (Rococo).
[16:32:15	]C24:i3.KING-20 entered observer.
[16:32:17	]C24:i3.KING-20 ran SAM command 'goto' with arguments: '#14'
[16:32:18	][IC] C24:i4.VICTOR-4: <:: Neyse rl yi dinleyelim. ::>
[16:32:18	]Adalwolf Krupp opened the 'Dropped Items' #11009 container.
[16:32:19	]C24:i3.KING-20 exited observer at their location.
[16:32:21	]Ivan  Andrey ran 'take' on item 'Plastik Levhalar' (#164468)
[16:32:22	][IC] HULUSİ KERİM: H.
[16:32:25	]Ivan  Andrey ran 'drop' on item 'Boş Şarap Şişesi' (#162543)
[16:32:25	]Ivan  Andrey has lost a 'Boş Şarap Şişesi' #162543.
[16:32:25	][IC] HULUSİ KERİM: Anlat baklaım.
[16:32:27	]C24:RCT.YELLO-54 used command '/Radio 10-4; 10-20 Destek Masası'.
[16:32:27	]Ivan  Andrey ran 'take' on item 'Elektronik devreler' (#164467)
[16:32:27	]Ivan  Andrey has gained a 'Elektronik devreler' #164467.
[16:32:28	]Kemal Şengör opened the 'Çöp Konteyneri' #10954 container.
[16:32:30	]Kemal Şengör closed the 'Çöp Konteyneri' #10954 container.
[16:32:31	]Adalwolf Krupp closed the 'Dropped Items' #11009 container.
[16:32:32	]Anna  İvakov ran 'take' on item 'Bez Paçavralar' (#164471)
[16:32:33	]Adalwolf Krupp opened the 'Dropped Items' #11009 container.
[16:32:34	][IC] HULUSİ KERİM: Ben böyle durdum.
[16:32:34	]Adalwolf Krupp closed the 'Dropped Items' #11009 container.
[16:32:35	]Ivan  Andrey ran 'take' on item 'Boş Plastik Sürahi' (#164466)
[16:32:36	][IC] C24:i3.KING-20: <:: Cinsel yerini öpmeye çalışırken. ::>
[16:32:37	]Adalwolf Krupp opened the 'Dropped Items' #11009 container.
[16:32:37	]Adalwolf Krupp closed the 'Dropped Items' #11009 container.
[16:32:38	][IC] C24:i3.KING-20: <:: Cinsel yerini öpmeye çalışırken. ::>
[16:32:39	]nikita opened the 'Çöp Kutusu' #10952 container.
[16:32:39	][IC] C24:i3.KING-20: <:: Cinsel yerini öpmeye çalışırken. ::>
[16:32:41	]nikita closed the 'Çöp Kutusu' #10952 container.
[16:32:43	]Ivan  Andrey ran 'drop' on item 'Ahşap Çerçeve' (#162522)
[16:32:43	]Ivan  Andrey has lost a 'Ahşap Çerçeve' #162522.
[16:32:48	][IC] HULUSİ KERİM: Durumla.
[16:32:48	]Ivan  Andrey ran 'drop' on item 'Plastik Kova' (#162525)
[16:32:48	]Ivan  Andrey has lost a 'Plastik Kova' #162525.
[16:32:50	][IC] HULUSİ KERİM: Bleırtmedım.
[16:32:52	][IC] HULUSİ KERİM: Looc tan.
[16:32:53	]Ivan  Andrey ran 'take' on item 'Ahşap Çerçeve' (#162522)
[16:32:53	]Ivan  Andrey has gained a 'Ahşap Çerçeve' #162522.
[16:32:53	][IC] HULUSİ KERİM: Konustuk.
[16:32:56	]C24:RL.KING-2 used command '/Radio 54 Cephaneliğe ilerle'.
[16:33:00	]Scientist has unloaded their "Liu Nuo" character.
[16:33:00	][IC] C24:i4.VICTOR-4: <:: Hmph. ::>
[16:33:04	]Scientist loaded the character 'Koh'Lach'
[16:33:05	]C24:RCT.YELLO-54 used command '/Radio 10-76'.
[16:33:09	][IC] HULUSİ KERİM: Looc tan konusmada rp dısıdand gleıyo.
[16:33:11	][IC] HULUSİ KERİM: Hmm.
[16:33:13	]Ivan  Andrey ran 'take' on item 'Demir' (#164422)
[16:33:13	]Ivan  Andrey has gained a 'Demir' #164422.
[16:33:16	][IC] HULUSİ KERİM: Öldü ama.
[16:33:19	]Ivan  Andrey ran 'take' on item 'Cam kırıkları' (#163437)
[16:33:19	]Ivan  Andrey has gained a 'Cam kırıkları' #163437.
[16:33:21	]Ivan  Andrey ran 'combine' on item 'Cam kırıkları' (#163883)
[16:33:23	]Ivan  Andrey ran 'combine' on item 'Cam kırıkları' (#164462)
[16:33:25	]C24:RCT.YELLO-54 used command '/Radio Waypoint sağlama şansınız varmı.'.
[16:33:31	][IC] HULUSİ KERİM: Neyse bb.
[16:33:36	]C24:i3.KING-20 ran SAM command 'return' with arguments: '#14'
[16:33:37	]C24:RL.KING-2 used command '/Radio Cephaneliği bilmiyor musun?'.
[16:33:38	]Subütai Makhachev used command '/ExitAct'.
[16:33:38	]Rococo (STEAM_0:1:578699778) has disconnected.
[16:33:38	]C24:RCT.YELLO-54 used command '/CP nexus devasa abi ben bilmiyom burayı'.
[16:33:44	]C24:RL.KING-2 used command '/CP Ara bul'.
[16:33:44	]C24:i3.KING-20 ran SAM command 'return' with arguments: '20'
[16:33:48	][PICKUP DISPENSER] CrashLog ( Subütai Makhachev ) picked up an item from the pickup dispenser.
[16:33:48	]Subütai Makhachev has gained a 'Goodfella Puro' #164475.
[16:33:48	]Subütai Makhachev has gained a 'Sigara' #164476.
[16:33:48	]Subütai Makhachev has gained a 'Sigara' #164477.
[16:33:48	]Subütai Makhachev has gained a 'Sigara' #164478.
[16:33:48	]Subütai Makhachev has gained a 'Sigara' #164479.
[16:33:48	]Subütai Makhachev has gained a 'Sigara' #164480.
[16:33:48	]Subütai Makhachev has gained a 'Sigara' #164481.
[16:33:48	]Subütai Makhachev has gained a 'Sigara' #164482.
[16:33:48	]Subütai Makhachev has gained a 'Sigara' #164483.
[16:33:49	]S10:SCN-7 used command '/Radio 100 credits'.
[16:33:50	]Ivan  Andrey ran 'take' on item 'Boş Breen'in Suyu' (#164473)
[16:33:50	]Ivan  Andrey has gained a 'Boş Breen'in Suyu' #164473.
[16:33:50	]Anna  İvakov ran 'drop' on item 'MP5A3' (#93778)
[16:33:50	]Anna  İvakov has lost a 'MP5A3' #93778.
[16:33:51	]C24:RCT.YELLO-54 used command '/CP tamam abi'.
[16:33:52	]Anna  İvakov ran 'drop' on item 'Yangın Baltası' (#136588)
[16:33:52	]Anna  İvakov has lost a 'Yangın Baltası' #136588.
[16:33:53	]Anna  İvakov ran 'drop' on item 'Araç Kiti' (#159999)
[16:33:53	]Anna  İvakov has lost a 'Araç Kiti' #159999.
[16:33:53	]C24:RL.KING-2 used command '/CP Birinden yardım iste olmadı'.
[16:33:54	]Anna  İvakov ran 'take' on item 'Araç Kiti' (#159999)
[16:33:54	]Anna  İvakov has gained a 'Araç Kiti' #159999.
[16:33:54	]C24:RCT.YELLO-54 has gained level 30 in the Hız skill.
[16:33:58	]Ivan  Andrey ran 'take' on item 'Çivi Kutusu' (#164474)
[16:33:58	]Ivan  Andrey has gained a 'Çivi Kutusu' #164474.
[16:33:58	]C24:i3.KING-20 entered observer.
[16:34:00	]C24:RL.KING-2 used command '/Radio Copy'.
[16:34:07	]C24:i3.KING-20 exited observer at their location.
[16:34:12	]Kemal Şengör ran 'take' on item 'Kırık Klavye' (#164484)
[16:34:12	]Kemal Şengör has gained a 'Kırık Klavye' #164484.
[16:34:14	]Kemal Şengör ran 'drop' on item 'Kırık Klavye' (#164484)
[16:34:14	]Kemal Şengör has lost a 'Kırık Klavye' #164484.
[16:34:16	]Kemal Şengör ran 'take' on item 'Kırık Klavye' (#164484)
[16:34:16	]Kemal Şengör has gained a 'Kırık Klavye' #164484.
[16:34:17	]Kemal Şengör ran 'drop' on item 'Kırık Klavye' (#164484)
[16:34:17	]Kemal Şengör has lost a 'Kırık Klavye' #164484.
[16:34:21	]Adalwolf Krupp used the 'Kitaplık' vendor.
[16:34:22	]Kemal Şengör opened the 'Gecekondu Kişisel Depo' stash.
[16:34:25	]Kemal Şengör closed the 'Gecekondu Kişisel Depo' stash.
[16:34:26	]Koh'Lach ran 'drop' on item 'Boş Kahve Fincanı' (#163324)
[16:34:26	]Koh'Lach has lost a 'Boş Kahve Fincanı' #163324.
[16:34:26	]Adalwolf Krupp has gained 0 chips.
[16:34:26	]Adalwolf Krupp has gained a 'Tesla Science - Part 1' #164487.
[16:34:27	]Koh'Lach ran 'drop' on item 'Boş Kahve Fincanı' (#163239)
[16:34:27	]Koh'Lach has lost a 'Boş Kahve Fincanı' #163239.
[16:34:29	]Adalwolf Krupp ran 'Read' on item 'Tesla Science - Part 1' (#164487)
[16:34:31	]nikita used command '/ExitAct'.
[16:34:32	]Adalwolf Krupp ran 'Read' on item 'Tesla Science - Part 1' (#164487)
[16:34:38	]Anna  İvakov ran 'take' on item 'Yangın Baltası' (#136588)
[16:34:38	]Anna  İvakov has gained a 'Yangın Baltası' #136588.
[16:34:39	]C24:i3.KING-20 entered observer.
[16:34:40	]Anna  İvakov ran 'Equip' on item 'Yangın Baltası' (#136588)
[16:34:48	]C24:i3.KING-20 exited observer at their location.
[16:34:55	]C24:RL.KING-2 used command '/Mentor Leibs naptın leibs'.
[16:34:58	]C24:RCT.YELLO-54 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:35:00	]C24:i3.KING-20 used command '/Mentor naptım'.
[16:35:02	][LOOC] Koh'Lach: bilmiyorum
[16:35:08	]C24:RL.KING-2 used command '/Mentor Neydi o noclip'.
[16:35:15	]Adalwolf Krupp has gained level 25 in the Zanaatkarlık skill.
[16:35:16	]C24:i3.KING-20 used command '/Mentor açıp gittim işte ne var ki'.
[16:35:16	]Kemal Şengör ran 'take' on item 'Tıbbi Direnişçi Üniforması' (#164490)
[16:35:16	]Kemal Şengör has gained a 'Tıbbi Direnişçi Üniforması' #164490.
[16:35:21	]Ivan  Andrey has gained a 'Eski Masa Saati' #164491.
[16:35:22	]C24:i3.KING-20 used command '/Mentor kimse görmedi'.
[16:35:24	]Adalwolf Krupp used the 'Kitaplık' vendor.
[16:35:25	]C24:i3.KING-20 used command '/Mentor bir rol anında değildim'.
[16:35:29	]Adalwolf Krupp has gained 0 chips.
[16:35:29	]Adalwolf Krupp has gained a 'Tesla Science - Part 2' #164492.
[16:35:29	]C24:i5.(X)KING-19 used command '/CP afk'.
[16:35:30	]Adalwolf Krupp has gained 0 chips.
[16:35:30	]Adalwolf Krupp has gained a 'Tesla Science - Part 3' #164493.
[16:35:30	]C24:RCT.YELLO-54 used command '/CP abi tedarikci cephanelikde değilmi'.
[16:35:31	]Adalwolf Krupp has gained 0 chips.
[16:35:31	]Adalwolf Krupp has gained a 'Tesla Science - Part 4' #164494.
[16:35:32	]Adalwolf Krupp has gained 0 chips.
[16:35:32	]Adalwolf Krupp has gained a 'Tesla Science - Part 5' #164495.
[16:35:34	]Adalwolf Krupp has gained 0 chips.
[16:35:34	]Adalwolf Krupp has gained a 'Guns & Bullets - Part 1' #164496.
[16:35:35	]Ivan  Andrey has gained level 2 in the Hız skill.
[16:35:38	]C24:RL.KING-2 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:35:42	]C24:RL.KING-2 exited observer at their location.
[16:35:43	]C24:i3.KING-20 ran SAM command 'bring' with arguments: '54'
[16:35:46	]Adalwolf Krupp ran 'Read' on item 'Tesla Science - Part 2' (#164492)
[16:35:48	][IC] C24:RCT.YELLO-54: <:: 20. ::>
[16:35:50	][IC] C24:i3.KING-20: <:: Dikkat et bir dahakine. ::>
[16:35:51	]Adalwolf Krupp ran 'UnRead' on item 'Tesla Science - Part 2' (#164492)
[16:35:51	][IC] C24:i3.KING-20: <:: Hıhı. ::>
[16:35:54	]Adalwolf Krupp used the 'SMAB Tedarikçisi' vendor.
[16:35:55	][IC] C24:RCT.YELLO-54: <:: Cephaneliğin yerini biliyormusunuz. ::>
[16:35:58	][IC] C24:i3.KING-20: <:: Gel. ::>
[16:36:00	]Adalwolf Krupp has gained a 'Dezenfekte Bandaj Rulosu' #164497.
[16:36:05	][IC] C24:i3.KING-20: <:: Şurası. ::>
[16:36:06	]Anna  İvakov has performed the 'Craft Su Şişesi' action, gaining 50 experience in crafting.
[16:36:06	]Anna  İvakov has gained a 'Su Şişesi' #164498.
[16:36:07	]Adalwolf Krupp has gained a 'Şırınga' #164499.
[16:36:08	][IC] C24:RCT.YELLO-54: <:: Anlaşıldı. ::>
[16:36:08	]Anna  İvakov has performed the 'Craft Su Şişesi' action, gaining 50 experience in crafting.
[16:36:08	]Anna  İvakov has gained a 'Su Şişesi' #164500.
[16:36:09	][ME] C24:i3.KING-20: jobuyla gösterir
[16:36:11	]Adalwolf Krupp has gained a 'Ağrı Kesici' #164501.
[16:36:11	][IC] C24:i3.KING-20: <:: Oradan alıyorsun. ::>
[16:36:12	]Anna  İvakov ran 'drop' on item 'Su Şişesi' (#164500)
[16:36:12	]Anna  İvakov has lost a 'Su Şişesi' #164500.
[16:36:12	]Anna  İvakov ran 'drop' on item 'Su Şişesi' (#164498)
[16:36:12	]Anna  İvakov has lost a 'Su Şişesi' #164498.
[16:36:15	][IC] C24:i3.KING-20: <:: Bende alacağım. ::>
[16:36:16	]Anna  İvakov ran 'combine' on item 'Plastik Levhalar' (#163954)
[16:36:19	]C24:i3.KING-20 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:36:22	]C24:i3.KING-20 has gained 0 chips.
[16:36:22	]C24:i3.KING-20 has gained a 'Lastik Kelepçe' #164502.
[16:36:23	]C24:i3.KING-20 has gained 0 chips.
[16:36:23	]C24:i3.KING-20 has gained a 'Lastik Kelepçe' #164503.
[16:36:23	]C24:i3.KING-20 has gained 0 chips.
[16:36:23	]C24:i3.KING-20 has gained a 'Lastik Kelepçe' #164504.
[16:36:24	]C24:i3.KING-20 has gained 0 chips.
[16:36:24	]C24:i3.KING-20 has gained a 'Lastik Kelepçe' #164505.
[16:36:24	]C24:i3.KING-20 has gained 0 chips.
[16:36:24	]C24:i3.KING-20 has gained a 'Lastik Kelepçe' #164506.
[16:36:25	]C24:i3.KING-20 has gained 0 chips.
[16:36:25	]C24:i3.KING-20 has gained a 'Lastik Kelepçe' #164507.
[16:36:25	]Adalwolf Krupp has gained a 'Lastik çizme' #164508.
[16:36:25	]C24:i3.KING-20 has gained 0 chips.
[16:36:25	]C24:i3.KING-20 has gained a 'Lastik Kelepçe' #164509.
[16:36:26	]C24:i3.KING-20 has gained 0 chips.
[16:36:26	]C24:i3.KING-20 has gained a 'Lastik Kelepçe' #164510.
[16:36:28	]Anna  İvakov ran 'take' on item 'Su Şişesi' (#164498)
[16:36:28	]Anna  İvakov has gained a 'Su Şişesi' #164498.
[16:36:28	]C24:i3.KING-20 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:36:30	]C24:i3.KING-20 has gained 0 chips.
[16:36:30	]C24:i3.KING-20 has gained a 'Lastik Kelepçe' #164511.
[16:36:31	]Anna  İvakov ran 'take' on item 'Su Şişesi' (#164500)
[16:36:31	]Anna  İvakov has gained a 'Su Şişesi' #164500.
[16:36:38	]C24:i3.KING-20 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:36:41	][W] S10:SCN-7: 243; assault on protection-team.
[16:36:41	]C24:i3.KING-20 has gained 0 chips.
[16:36:41	]C24:i3.KING-20 has gained a 'Bandaj Rulosu' #164512.
[16:36:41	]C24:i3.KING-20 has gained 0 chips.
[16:36:41	]C24:i3.KING-20 has gained a 'Bandaj Rulosu' #164513.
[16:36:41	][IC] C24:RL.KING-2: <:: Şimdi,i5'e terfi ediyorum seni. ::>
[16:36:43	]C24:i3.KING-20 has gained 0 chips.
[16:36:43	]C24:i3.KING-20 has gained a 'Bandaj Rulosu' #164514.
[16:36:47	]Adalwolf Krupp has gained a 'Kan Şırıngası' #164515.
[16:36:49	][IC] C24:RL.KING-2: <:: I5 olmaya uygun görüldün. ::>
[16:36:52	]C24:i3.KING-20 ran 'drop' on item 'El Yapımı Bandaj Rulosu' (#164184)
[16:36:52	]C24:i3.KING-20 has lost a 'El Yapımı Bandaj Rulosu' #164184.
[16:36:52	]C24:i3.KING-20 ran 'drop' on item 'El Yapımı Bandaj Rulosu' (#164185)
[16:36:52	]C24:i3.KING-20 has lost a 'El Yapımı Bandaj Rulosu' #164185.
[16:36:59	]C24:i3.KING-20 used command '/ToggleRaise'.
[16:36:59	]C24:i3.KING-20 destroyed a 'El Yapımı Bandaj Rulosu' #164184.
[16:37:01	]C24:i3.KING-20 destroyed a 'El Yapımı Bandaj Rulosu' #164185.
[16:37:03	]C24:i3.KING-20 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:37:03	][IC] C24:RL.KING-2: <:: Artık tabanca taşıma yetkin ve plazadan ayrılma yetkin bulunmakta. ::>
[16:37:04	][W] S10:SCN-7: 10-103M; disturbance by mentally unfit.
[16:37:08	]Adalwolf Krupp has gained a 'Prednisone (iltihaplanma)' #164517.
[16:37:10	]C24:i3.KING-20 ran 'Consume' on item 'Yapay Macun' (#164286)
[16:37:10	]C24:i3.KING-20 has gained a 'Boş Kavanoz' #164518.
[16:37:10	]Percy Cox ran 'take' on item 'Dayanıksız Metal Boru' (#164516)
[16:37:10	]C24:i3.KING-20 ran 'Consume' on item 'Breen Suyu' (#164287)
[16:37:10	]C24:i3.KING-20 has wasted a level -2 long boost in Zeka (current: 5; target: 3).
[16:37:10	]C24:i3.KING-20 has updated their Algı long boost target to -1 (current : 1).
[16:37:10	]C24:i3.KING-20 has gained a 'Boş Breen'in Suyu' #164519.
[16:37:11	][IC] C24:RCT.YELLO-54: <:: Anlaşıldı. ::>
[16:37:13	]C24:i3.KING-20 ran 'drop' on item 'Boş Breen'in Suyu' (#164519)
[16:37:13	]C24:i3.KING-20 has lost a 'Boş Breen'in Suyu' #164519.
[16:37:13	][IC] C24:RL.KING-2: <:: Ama bu her zaman plazadan yalnız bir şekilde ayrılacağın anlamına gelmiyor. ::>
[16:37:13	]C24:i3.KING-20 ran 'drop' on item 'Boş Kavanoz' (#164518)
[16:37:13	]C24:i3.KING-20 has lost a 'Boş Kavanoz' #164518.
[16:37:15	]Percy Cox ran 'take' on item 'Dayanıksız Metal Boru' (#164516)
[16:37:15	]C24:i3.KING-20 used command '/ToggleRaise'.
[16:37:16	]C24:i3.KING-20 destroyed a 'Boş Breen'in Suyu' #164519.
[16:37:16	]Anna  İvakov ran 'take' on item 'MP5A3' (#93778)
[16:37:17	]C24:i3.KING-20 destroyed a 'Boş Kavanoz' #164518.
[16:37:18	]C24:i3.KING-20 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:37:18	]Percy Cox ran 'take' on item 'Dayanıksız Metal Boru' (#164516)
[16:37:18	]Anna  İvakov ran 'drop' on item 'Su Şişesi' (#164500)
[16:37:18	]Anna  İvakov has lost a 'Su Şişesi' #164500.
[16:37:18	]Adalwolf Krupp has gained a 'Adrenalin' #164520.
[16:37:18	]Percy Cox ran 'take' on item 'Dayanıksız Metal Boru' (#164516)
[16:37:19	]Anna  İvakov ran 'drop' on item 'Su Şişesi' (#164498)
[16:37:19	]Anna  İvakov has lost a 'Su Şişesi' #164498.
[16:37:20	][IC] C24:RL.KING-2: <:: KT ile ayrılacaksın. ::>
[16:37:22	]Subütai Makhachev ran 'drop' on item 'Daire Anahtarı' (#161092)
[16:37:22	]Subütai Makhachev has lost a 'Daire Anahtarı' #161092.
[16:37:22	]Percy Cox ran 'take' on item 'Dayanıksız Metal Boru' (#164516)
[16:37:23	]C24:i5.(X)KING-19 used command '/CP döndüm'.
[16:37:23	]C24:i3.KING-20 used the 'Sivil Koruma Tedarikçisi' vendor.
[16:37:24	]Anna  İvakov ran 'take' on item 'MP5A3' (#93778)
[16:37:25	]Ivan  Andrey opened the 'Çöp Konteyneri' #10515 container.
[16:37:29	][IC] C24:RL.KING-2: <:: Sana tabanca eğitimi vereceğim. ::>
[16:37:31	]Ivan  Andrey closed the 'Çöp Konteyneri' #10515 container.
[16:37:32	]Anna  İvakov ran 'drop' on item '#73150 Kimlik Kartı' (#162183)
[16:37:32	]Anna  İvakov has lost a '#73150 Kimlik Kartı' #162183.
[16:37:32	]Anna  İvakov ran 'drop' on item '#15547 Kimlik Kartı' (#138010)
[16:37:32	]Anna  İvakov has lost a '#15547 Kimlik Kartı' #138010.
[16:37:35	]Subütai Makhachev used command '/ID'.
[16:37:36	]C24:i5.(X)KING-19 ran 'take' on item 'Daire Anahtarı' (#161092)
[16:37:36	]C24:i5.(X)KING-19 has gained a 'Daire Anahtarı' #161092.
[16:37:36	][IC] C24:RL.KING-2: <:: Diğer yetkilerini kitapçıktan kontrol et. ::>
[16:37:39	][IC] C24:RCT.YELLO-54: <:: Anlaşıldı. ::>
[16:37:40	]Anna  İvakov ran 'take' on item 'MP5A3' (#93778)
[16:37:41	]Koh'Lach ran 'fill' on item 'Su Şişesi' (#161077)
[16:37:42	][IC] C24:i5.(X)KING-19: <:: Pekala, nerde buldun? ::>
[16:37:43	]Anna  İvakov ran 'drop' on item 'Demir' (#164414)
[16:37:43	]Anna  İvakov has lost a 'Demir' #164414.
[16:37:43	]Anna  İvakov ran 'drop' on item '#11446 Kimlik Kartı' (#137983)
[16:37:43	]Anna  İvakov has lost a '#11446 Kimlik Kartı' #137983.
[16:37:44	]Koh'Lach ran 'fill' on item 'Su Şişesi' (#161077)
[16:37:48	]Koh'Lach ran 'fill' on item 'Su Şişesi' (#161077)
[16:37:49	]Anna  İvakov ran 'take' on item 'Demir' (#164414)
[16:37:49	]Anna  İvakov has gained a 'Demir' #164414.
[16:37:51	]Anna  İvakov ran 'take' on item 'MP5A3' (#93778)
[16:37:51	]Anna  İvakov has gained a 'MP5A3' #93778.
[16:37:52	]Adalwolf Krupp used the 'SMAB Tedarikçisi' vendor.
[16:37:53	][IC] C24:RL.KING-2: <:: Kendine tabanca,şarjörler, ve şarjör çantası tedarik et. ::>
[16:37:53	][IC] C24:i5.(X)KING-19: <:: Anladım, doğrula. ::>
[16:37:55	]Anna  İvakov ran 'take' on item '#11446 Kimlik Kartı' (#137983)
[16:37:55	]Anna  İvakov has gained a '#11446 Kimlik Kartı' #137983.
[16:37:56	]Koh'Lach ran 'fill' on item 'Su Şişesi' (#161077)
[16:37:56	][IC] C24:RL.KING-2: <:: Mermi çantası da al. ::>
[16:37:57	]Subütai Makhachev used command '/ID'.
[16:37:57	]Anna  İvakov ran 'take' on item '#15547 Kimlik Kartı' (#138010)
[16:37:57	]Anna  İvakov has gained a '#15547 Kimlik Kartı' #138010.
[16:37:58	]Anna  İvakov ran 'take' on item '#73150 Kimlik Kartı' (#162183)
[16:37:58	]Anna  İvakov has gained a '#73150 Kimlik Kartı' #162183.
[16:37:58	]C24:RL.KING-2 has used a context menu option with the name: vendor_edit
[16:37:59	]Anna  İvakov ran 'take' on item 'Su Şişesi' (#164498)
